('fe80::d69a:20ff:fe09:6980%en2', 51587, 0, 6) | test | b'!LOGOUT!'
('fe80::d69a:20ff:fe09:6980%en2', 53489, 0, 7) | test | b':TO:sk@newbie.net'
('fe80::d69a:20ff:fe09:6980%en2', 53489, 0, 7) | test | b'!LOGOUT!'
('fe80::d69a:20ff:fe09:6980%en2', 53491, 0, 7) | test | b'?MAIL?'
('fe80::d69a:20ff:fe09:6980%en2', 53491, 0, 7) | test | b'!MAIL_SEND!'
('fe80::d69a:20ff:fe09:6980%en2', 53491, 0, 7) | test | b':TO:sk@newbie.net'
('fe80::d69a:20ff:fe09:6980%en2', 53491, 0, 7) | test | b'!LOGOUT!'
('fe80::d69a:20ff:fe09:6980%en2', 53494, 0, 7) | test | b'?MAIL?'
('fe80::d69a:20ff:fe09:6980%en2', 53494, 0, 7) | test | b'!MAIL_SEND!'
('fe80::d69a:20ff:fe09:6980%en2', 53494, 0, 7) | test | b':TO:sk@newbie.net'
('fe80::d69a:20ff:fe09:6980%en2', 53496, 0, 7) | test | b'?MAIL?'
('fe80::d69a:20ff:fe09:6980%en2', 53496, 0, 7) | test | b'!MAIL_SEND!'
('fe80::d69a:20ff:fe09:6980%en2', 53496, 0, 7) | test | b':TO:sk@newbie.net'
('fe80::d69a:20ff:fe09:6980%en2', 53498, 0, 7) | test | b'?MAIL?'
('fe80::d69a:20ff:fe09:6980%en2', 53498, 0, 7) | test | b'!MAIL_SEND!'
('169.254.210.47', 53501) | test | b'?MAIL?'
('169.254.210.47', 53501) | test | b'!MAIL_SEND!'
('fe80::d69a:20ff:fe09:6980%en2', 53509, 0, 7) | test | b'?MAIL?'
('fe80::d69a:20ff:fe09:6980%en2', 53509, 0, 7) | test | b'!MAIL_SEND!'
('169.254.210.47', 53516) | test | b'?MAIL?'
('169.254.210.47', 53516) | test | b'!MAIL_SEND!'
('169.254.210.47', 53516) | test | b'!LOGOUT!'
('169.254.210.47', 53518) | sk | b'?MAIL?'
('169.254.210.47', 53518) | sk | b'?MAIL_UNREAD?'
('169.254.210.47', 53518) | sk | b'!LOGOUT!'
('fe80::d69a:20ff:fe09:6980%en2', 53520, 0, 7) | sk | b'?MAIL?'
('fe80::d69a:20ff:fe09:6980%en2', 53520, 0, 7) | sk | b'?MAIL_UNREAD?'
recv limit reached for user sk. Closing connection.
('fe80::d69a:20ff:fe09:6980%en2', 53521, 0, 7) | sk | b'?MAIL?'
('fe80::d69a:20ff:fe09:6980%en2', 53521, 0, 7) | sk | b'?MAIL_UNREAD?'
('fe80::d69a:20ff:fe09:6980%en2', 53521, 0, 7) | sk | b'?MAIL_MESSAGE_576642?'
('fe80::d69a:20ff:fe09:6980%en2', 53521, 0, 7) | sk | b'?MAIL_MESSAGE_527387?'
('fe80::d69a:20ff:fe09:6980%en2', 53521, 0, 7) | sk | b'!LOGOUT!'
('fe80::d69a:20ff:fe09:6980%en2', 50369, 0, 7) | test | b'!LOGOUT!'
('169.254.210.47', 50427) | test | b'?LIST?'
('169.254.210.47', 50427) | test | b'!LOGOUT!'
('fe80::d69a:20ff:fe09:6980%en2', 50485, 0, 7) | test | b'?LIST_PART?'
('fe80::d69a:20ff:fe09:6980%en2', 50485, 0, 7) | test | b':ADD:ram.ram:netbook'
('fe80::d69a:20ff:fe09:6980%en2', 50485, 0, 7) | test | b'?LIST?'
('fe80::d69a:20ff:fe09:6980%en2', 50485, 0, 7) | test | b'?LIST_PART?'
('fe80::d69a:20ff:fe09:6980%en2', 50485, 0, 7) | test | b'?LIST_COMPUTER?'
('fe80::d69a:20ff:fe09:6980%en2', 50485, 0, 7) | test | b':REMOVE:ram.ram:netbook'
('fe80::d69a:20ff:fe09:6980%en2', 50485, 0, 7) | test | b':REMOVE:ram.ram:netbook'
('fe80::d69a:20ff:fe09:6980%en2', 50513, 0, 7) | test | b':REMOVE:ram.ram:netbook'
('fe80::d69a:20ff:fe09:6980%en2', 50513, 0, 7) | test | b':REMOVE:ram.ram:netbook'
('fe80::d69a:20ff:fe09:6980%en2', 50521, 0, 7) | test | b':REMOVE:ram.ram:netbook'
('fe80::d69a:20ff:fe09:6980%en2', 50521, 0, 7) | test | b'!LOGOUT!'
('fe80::d69a:20ff:fe09:6980%en0', 56389, 0, 4) | test | b'?LIST?'
('fe80::d69a:20ff:fe09:6980%en0', 56389, 0, 4) | test | b'?LIST_COMPUTER?'
('fe80::d69a:20ff:fe09:6980%en0', 56389, 0, 4) | test | b'?LIST_PART?'
('fe80::d69a:20ff:fe09:6980%en0', 56389, 0, 4) | test | b'?LIST_PROGRAM?'
('fe80::d69a:20ff:fe09:6980%en0', 56389, 0, 4) | test | b'?LIST?'
('fe80::d69a:20ff:fe09:6980%en0', 56389, 0, 4) | test | b'?LIST?'
('fe80::d69a:20ff:fe09:6980%en0', 56389, 0, 4) | test | b'?LIST?'
('fe80::d69a:20ff:fe09:6980%en0', 56389, 0, 4) | test | b'?LIST_PART?'
('fe80::d69a:20ff:fe09:6980%en0', 56389, 0, 4) | test | b':ADD:ram.ram:netbook'
('fe80::d69a:20ff:fe09:6980%en0', 56389, 0, 4) | test | b'?LIST?'
('fe80::d69a:20ff:fe09:6980%en0', 56389, 0, 4) | test | b'?LIST_COMPUTER?'
('fe80::d69a:20ff:fe09:6980%en0', 56389, 0, 4) | test | b'!NEW_COMPUTER!'
('fe80::d69a:20ff:fe09:6980%en0', 56389, 0, 4) | test | b'?LIST?'
('fe80::d69a:20ff:fe09:6980%en0', 56389, 0, 4) | test | b':REMOVE:ram:netbook'
('fe80::d69a:20ff:fe09:6980%en0', 56389, 0, 4) | test | b':REMOVE:ram:netbook'
('fe80::d69a:20ff:fe09:6980%en0', 56389, 0, 4) | test | b':REMOVE:ram.ram:netbook'
('fe80::d69a:20ff:fe09:6980%en0', 56389, 0, 4) | test | b'?LIST?'
('fe80::d69a:20ff:fe09:6980%en0', 56389, 0, 4) | test | b'?LIST_COMPUTER?'
('fe80::d69a:20ff:fe09:6980%en0', 56389, 0, 4) | test | b'!LOGOUT!'
('fe80::d69a:20ff:fe09:6980%en0', 56524, 0, 4) | test | b'?LIST_COMPUTER?'
('fe80::d69a:20ff:fe09:6980%en0', 56524, 0, 4) | test | b'?LIST_PART?'
('fe80::d69a:20ff:fe09:6980%en0', 56524, 0, 4) | test | b':ADD:ram.ram:netbook'
('fe80::d69a:20ff:fe09:6980%en0', 56524, 0, 4) | test | b'?LIST?'
('fe80::d69a:20ff:fe09:6980%en0', 56524, 0, 4) | test | b'?LIST_COMPUTER_netbook?'
('fe80::d69a:20ff:fe09:6980%en0', 56538, 0, 4) | test | b'?LIST?'
('fe80::d69a:20ff:fe09:6980%en0', 56538, 0, 4) | test | b'?LIST_COMPUTER?'
('fe80::d69a:20ff:fe09:6980%en0', 56538, 0, 4) | test | b'?LIST_COMPUTER_netbook?'
('192.168.0.103', 56547) | test | b'?LIST_COMPUTER?'
('192.168.0.103', 56547) | test | b'?LIST_COMPUTER_netbook?'
('192.168.0.103', 56547) | test | b'?LIST_COMPUTER_blah?'
('fe80::d69a:20ff:fe09:6980%en0', 56564, 0, 4) | test | b'?LIST?'
('fe80::d69a:20ff:fe09:6980%en0', 56564, 0, 4) | test | b'?LIST_COMPUTER?'
('fe80::d69a:20ff:fe09:6980%en0', 56564, 0, 4) | test | b'?LIST_COMPUTER_netbook?'
('fe80::d69a:20ff:fe09:6980%en0', 56564, 0, 4) | test | b'?LIST_COMPUTER_blah?'
('fe80::d69a:20ff:fe09:6980%en0', 56564, 0, 4) | test | b'?LIST_COMPUTER_blah?'
('fe80::d69a:20ff:fe09:6980%en0', 56564, 0, 4) | test | b'!LOGOUT!'
('::ffff:127.0.0.1', 56210, 0, 0) | sk | b'?LIST?'
('::ffff:127.0.0.1', 56210, 0, 0) | sk | b'?LIST_PROGRAM?'
('::ffff:127.0.0.1', 56210, 0, 0) | sk | b'?MAIL?'
('::ffff:127.0.0.1', 56210, 0, 0) | sk | b'?MAIL_READ?'
('::ffff:127.0.0.1', 56210, 0, 0) | sk | b'!MAIL_SEND!'
('::ffff:127.0.0.1', 56210, 0, 0) | sk | b'?MAIL_UNREAD?'
('::ffff:127.0.0.1', 56210, 0, 0) | sk | b'?MAIL_READ?'
('::ffff:127.0.0.1', 56210, 0, 0) | sk | b'?MAIL_MESSAGE_527387?'
('::ffff:127.0.0.1', 56210, 0, 0) | sk | b'?LIST?'
('::ffff:127.0.0.1', 56210, 0, 0) | sk | b'?LIST_COMPUTER?'
('::ffff:127.0.0.1', 56210, 0, 0) | sk | b'?LIST_COMPUTER_netbook?'
('::ffff:127.0.0.1', 56210, 0, 0) | sk | b'!LOGOUT!'
('::ffff:127.0.0.1', 56263, 0, 0) | sk | b'!NEW_COMPUTER!'
('::ffff:127.0.0.1', 56263, 0, 0) | sk | b'?LIST?'
('::ffff:127.0.0.1', 56263, 0, 0) | sk | b'?LIST_COMPUTER?'
('::ffff:127.0.0.1', 56263, 0, 0) | sk | b'?LIST_COMPUTER?'
('::ffff:127.0.0.1', 56263, 0, 0) | sk | b'!RENAME!'
('::ffff:127.0.0.1', 56263, 0, 0) | sk | b'?LIST_COMPUTER?'
('::ffff:127.0.0.1', 56263, 0, 0) | sk | b'!RENAME!'
('::ffff:127.0.0.1', 56297, 0, 0) | sk | b'?LIST?'
('::ffff:127.0.0.1', 56297, 0, 0) | sk | b'?LIST_COMPUTER?'
('::ffff:127.0.0.1', 56297, 0, 0) | sk | b'?LIST?'
('::ffff:127.0.0.1', 56297, 0, 0) | sk | b'!LOGOUT!'
('::ffff:127.0.0.1', 56437, 0, 0) | admin | b'?MAIL?'
('::ffff:127.0.0.1', 56437, 0, 0) | admin | b'?MAIL_UNREAD?'
('::ffff:127.0.0.1', 56437, 0, 0) | admin | b'?MAIL_MESSAGE_047.81?'
('::ffff:127.0.0.1', 56437, 0, 0) | admin | b'?MAIL_MESSAGE_349328?'
('::ffff:127.0.0.1', 56437, 0, 0) | admin | b'!LOGOUT!'
